-5.000000, 0.038462
-4.800000, 1.804385
-4.600000, 1.845845
-4.400000, 1.240213
-4.200000, 0.560444
-4.000000, 0.058824
-3.800000, -0.201296
-3.600000, -0.254603
-3.400000, -0.174335
-3.200000, -0.036317
-3.000000, 0.100000
-2.800000, 0.198726
-2.600000, 0.247154
-2.400000, 0.251021
-2.200000, 0.227840
-2.000000, 0.200000
-1.800000, 0.188778
-1.600000, 0.209914
-1.400000, 0.271024
-1.200000, 0.370833
-1.000000, 0.500000
-0.800000, 0.643163
-0.600000, 0.781747
-0.400000, 0.897080
-0.200000, 0.973346
0.000000, 1.000000
0.200000, 0.973346
0.400000, 0.897080
0.600000, 0.781747
0.800000, 0.643163
1.000000, 0.500000
1.200000, 0.370833
1.400000, 0.271024
1.600000, 0.209914
1.800000, 0.188778
2.000000, 0.200000
2.200000, 0.227840
2.400000, 0.251021
2.600000, 0.247154
2.800000, 0.198726
3.000000, 0.100000
3.200000, -0.036317
3.400000, -0.174335
3.600000, -0.254603
3.800000, -0.201296
4.000000, 0.058824
4.200000, 0.560444
4.400000, 1.240213
4.600000, 1.845845
4.800000, 1.804385
5.000000, 0.038462
