0.000000, 0.000000
0.333333, 0.326459
0.666667, 0.618107
1.000000, 0.841471
1.333333, 0.971965
1.666667, 0.995408
2.000000, 0.909297
2.333333, 0.723101
2.666667, 0.457289
3.000000, 0.141120
3.333333, -0.190584
3.666667, -0.501293
4.000000, -0.756802
4.333333, -0.928997
4.666667, -0.998937
5.000000, -0.958924
5.333333, -0.813352
5.666667, -0.578224
6.000000, -0.279415
6.333333, 0.050165
6.666667, 0.374200
7.000000, 0.656987
7.333333, 0.867407
7.666667, 0.982378
8.000000, 0.989358
8.333333, 0.887612
8.666667, 0.688092
9.000000, 0.412118
9.333333, 0.089365
9.666667, -0.243801
10.000000, -0.544021
